# P3 curation dispositions — the tracked join of the four worker reports
# + integrator rows (2026-08-18). One row per (block, worker); a block may
# appear twice when a handover was completed at integration (the later
# integ row supersedes the earlier SKIPPED/NEGATIVE-MATERIAL row).
# dispositions: CASES=171, COMPILE-ONLY=5, NEGATIVE-MATERIAL=1, SKIPPED=21
# KNOWN GAP (w3 cross-check): the legal lines of the contains-illegal
# literal grids (Integer/Float/Rune/String_literals) are rejected-line
# covered only; their legal-value pinning is a recorded follow-on.
block_id	worker	disposition	case_ids	note
Rune_literals-3-57f8f4f9	w1	CASES	spec-examples/rune-lit-too-many-chars,spec-examples/rune-lit-unknown-escape,spec-examples/rune-lit-hex-too-few-digits,spec-examples/rune-lit-octal-too-few-digits,spec-examples/rune-lit-octal-over-255,spec-examples/rune-lit-surrogate-half,spec-examples/rune-lit-code-point-too-large	all 7 illegal lines. gc words too-few-digits as "invalid character '\'' in hexadecimal/octal escape" (scanner hits closing quote where a digit is required) - same rule.
Satisfying_a_type_constraint-1-1c69f8c6	w4	COMPILE-ONLY	spec-examples-decl/compile-only-forms	satisfied rows instantiated (incl. any-satisfies-comparable, struct{f any}, interface{m()} vs comparable;m()); not-satisfied rows are negative material outside this positive lane
Select_statements-2-b1ed8c96	w4	CASES	spec-examples-decl/select-forms/ready,spec-examples-decl/select-forms/default,spec-examples-decl/select-forms/block-forever	partial: LHS a[f()] non-evaluation pinned (f never runs when c4 nil); select{} pinned as deadlock; the random-bit send loop is genuinely nondet — membership-lane candidate, not pinned here
Selectors-1-4580a32c	w3	CASES	spec-examples-lexical/selectors-depth	x.f form exercised throughout the selectors-depth subject (credited jointly with Selectors-3)
Selectors-2-3fcac2bf	w4	CASES	spec-examples-decl/selectors-embedding-depth/fields,spec-examples-decl/selectors-embedding-depth/methods	depth rules incl. q.x through named pointer type; invalid q.M0() is negative material, noted not emitted
Selectors-3-361b7011	w3	CASES	spec-examples-lexical/selectors-depth	spec's T0/T1/T2 embedding decls verbatim (method bodies added: each appends a digit to a trace); all 11 documented resolutions pinned incl. defined-pointer-type exception q.x; returns 255
Selectors-4-c76451a2	integ	CASES	spec-examples/selector-no-pointer-promotion	handover from w3 NEGATIVE-MATERIAL: negative case built at integration
Selectors-4-c76451a2	w3	NEGATIVE-MATERIAL	-	q.M0() — spec marks invalid ((*q).M0 valid but not a field selector; methods not promoted through defined pointer type Q); must-not-compile case for the negative lane
Short_variable_declarations-3-b4785831	w2	CASES	spec-examples-stmt/short-var-decl	os.Pipe()/coord(p) replaced by local stand-ins (noted in header); declaration forms verbatim
Short_variable_declarations-4-c0320034	w1	CASES	spec-examples/short-decl-repeated-ident	x,y,x := 1,2,3; block's field1/field2 redeclare lines are legal and omitted (need nextField scaffolding, irrelevant to the illegality).
Slice_expressions-2-3678d32a	w2	CASES	spec-examples-stmt/slice-simple	len 3, cap 4, elements 2,3,4 as stated
Slice_expressions-4-5e36e5ff	w3	CASES	spec-examples-lexical/slice-expression-defaults	a[2:]/a[:3]/a[:] each pinned against written-out form + len/cap/elements over spec's [5]int{1..5}; returns 15
Slice_expressions-5-891e8f16	w4	CASES	spec-examples-decl/slice-aliasing	incl. the s3 := s[:0] == nil claim for nil s (confirmed in gc)
Slice_expressions-7-6feb1778	w2	CASES	spec-examples-stmt/slice-full	len 2, cap 4, elements 2,3 as stated
String_concatenation-1-994ecb2e	w2	CASES	spec-examples-stmt/string-concat	+ and += concat; new-string claim pinned via unchanged operand
String_literals-2-d7b1cc56	w1	CASES	spec-examples/string-lit-surrogate-half,spec-examples/string-lit-code-point-too-large	both illegal lines.
String_literals-3-01d5cea4	w3	CASES	spec-examples-lexical/string-literal-forms	five equivalent spellings of "日本語" pinned pairwise-equal + len 9 + exact UTF-8 bytes; returns 63
Struct_types-5-677bedbd	w2	CASES	spec-examples-stmt/struct-tags	tags (incl. beside a blank field) leave ordinary field access unchanged; anonymous struct types kept verbatim
Struct_types-6-4cfd4d7d	w1	CASES	spec-examples/struct-type-self-embed,spec-examples/struct-type-array-cycle,spec-examples/struct-type-mutual-cycle	4 invalid type decls -> 3 cases (T3/T4 mutual cycle merged, same reason as Array_types).
The_zero_value-1-3e4f442c	w4	CASES	spec-examples-decl/zero-value	-
The_zero_value-2-91c9d45b	w4	CASES	spec-examples-decl/zero-value	-
The_zero_value-4-ac95c519	w4	CASES	spec-examples-decl/zero-value	-
Type_assertions-1-e1930fb0	w3	CASES	spec-examples-lexical/type-assertion-form	x.(T) yields stored value for int and string dynamic types; returns 3
Type_assertions-2-f31bbf04	w1	CASES	spec-examples/impossible-type-assertion	y.(string) with I{m()}: "impossible type assertion"; legal y.(io.Reader) line kept as in the spec block.
Type_assertions-3-4a92a9bb	w4	CASES	spec-examples-decl/assert-comma-ok	incl. var v, ok interface{} = x.(T) with dynamic types T and bool
Type_constraints-2-d68bf28b	w1	CASES	spec-examples/tilde-outside-type-param-list	rejected at parse level: "syntax error: unexpected ~ in type declaration". The 3 bracketed lines are constraint-elision equivalences (not standalone code), not converted.
Type_definitions-2-15b8a5c5	w4	CASES	spec-examples-decl/type-definitions-distinct	-
Type_definitions-3-1cc92870	w4	CASES	spec-examples-decl/method-sets-defined-types/promotion,spec-examples-decl/method-sets-defined-types/interface-method-set	NewMutex empty-method-set claim observable only negatively (must-not-compile) — negative half left for the contains-illegal lane
Type_definitions-4-43d28461	w4	CASES	spec-examples-decl/timezone-stringer	keeps fmt.Sprintf verbatim; frontend may block on fmt (honest red, never false pass)
Type_definitions-5-2ef7be8d	w4	CASES	spec-examples-decl/generic-list	-
Type_definitions-6-92a5f453	w1	CASES	spec-examples/typedef-own-type-param,spec-examples/typedef-enclosing-type-param	both illegal lines (own type-param list; enclosing function's type param).
Type_definitions-7-df4fe91f	w4	CASES	spec-examples-decl/generic-list	elided Len body realized as recursive count incl. nil receiver
Type_identity-1-f7f5ddf5	w4	CASES	spec-examples-decl/type-identity	-
Type_identity-2-3852e9af	w4	CASES	spec-examples-decl/type-identity	prose claim list; each identity row realized as a conversion-free assignment in the same case
Type_inference-1-21633371	w4	CASES	spec-examples-decl/dedup-inference	elided dedup body realized; inference pinned by conversion-free s = dedup(s) at named Slice
Type_parameter_declarations-3-c1263bf1	w4	CASES	spec-examples-decl/typeparam-parse-ambiguity/arrays,spec-examples-decl/typeparam-parse-ambiguity/conversion-form	array-parse of [P *C], [P (C)], [P *C|Q] observable via len == 6/3/14
Type_parameter_declarations-4-eee1623c	w4	CASES	spec-examples-decl/typeparam-parse-ambiguity/forced-generic	interface{*C} and trailing-comma forms force generic parse; trailing comma survives gofmt
Type_switches-3-8bc27ecc	w2	CASES	spec-examples-stmt/type-switch/nil-case spec-examples-stmt/type-switch/int-case spec-examples-stmt/type-switch/float64-case spec-examples-stmt/type-switch/func-case spec-examples-stmt/type-switch/bool-in-list spec-examples-stmt/type-switch/string-in-list spec-examples-stmt/type-switch/default-case	print* helpers -> returned labels + typed-use detail (int i, float i, i(4) for the func case)
Type_switches-4-595985f9	w2	CASES	spec-examples-stmt/type-switch-equiv-if/if-chain-nil spec-examples-stmt/type-switch-equiv-if/if-chain-int spec-examples-stmt/type-switch-equiv-if/if-chain-float64 spec-examples-stmt/type-switch-equiv-if/if-chain-func spec-examples-stmt/type-switch-equiv-if/if-chain-bool spec-examples-stmt/type-switch-equiv-if/if-chain-string spec-examples-stmt/type-switch-equiv-if/if-chain-default spec-examples-stmt/type-switch-equiv-if/agree-nil spec-examples-stmt/type-switch-equiv-if/agree-int spec-examples-stmt/type-switch-equiv-if/agree-float64 spec-examples-stmt/type-switch-equiv-if/agree-func spec-examples-stmt/type-switch-equiv-if/agree-bool spec-examples-stmt/type-switch-equiv-if/agree-string spec-examples-stmt/type-switch-equiv-if/agree-default	spec's if-chain translation + agree subjects vs the switch form; spec's unused i := v bindings need _ = i to compile (noted — the verbatim block is not legal Go)
Type_switches-5-0b078ebe	w4	CASES	spec-examples-decl/generic-type-switch	type parameter as switch case; first-match-wins for the duplicated string case
Type_unification-1-8c22e47c	w2	CASES	spec-examples-stmt/type-unify-struct-array	block is unification META-notation (and uses a comma where Go needs ;) — converted to its consequence: generic call infers P=string; noted in header
Underlying_types-1-6ede4d8d	w4	CASES	spec-examples-decl/underlying-conversions	elided f body realized
Variable_declarations-2-e27bbbcf	w4	CASES	spec-examples-decl/var-decl-forms	the two i declarations cannot share a scope: grouped form moved to function scope (shadowing); complexSqrt/entries realized as supporting decls
Variable_declarations-3-f13e0b23	w1	CASES	spec-examples/var-init-untyped-nil	var n = nil.
Variables-1-60262a8d	w4	CASES	spec-examples-decl/typed-nil-interface	dynamic-type tracking: x = v stores (*T)(nil) with dynamic type *T, so x != nil
