# golang/go issue metadata for the archaeology census's 370 resolvable refs
# joined from the gh snapshot (deps/issue-snapshots/, gitignored); census pin c19862e5f841
# unresolvable via the ISSUES api: 2 (47141,56010) — NOT necessarily junk:
# check the Discussions api before dismissing (audit F-5: 47141 and 56010 are the
# memory-model-rewrite and loopvar-semantics DISCUSSIONS — top-value census objects)
# snapshot rows not in the current census (retired refs): 2
number	state	closed	labels	title
47280	closed	2021-07-19	Documentation,NeedsFix,FrozenDueToAge	spec: Conversions_from_slice_to_array_pointer: second len(s) comment should be len(t) ?
47282	closed	2021-07-19	cla: yes	spec: correct example comment in Conversions from slice to array
47368	closed	2021-07-25	Documentation,NeedsFix,FrozenDueToAge	spec: typographical inconsistency in character literals
47599	closed	2021-08-08	Documentation,NeedsFix,FrozenDueToAge	spec: Conversions_from_slice_to_array_pointer: clarify behavior for subslices
47732	closed	2021-09-01	cla: yes	spec: adjust example for consistency
47863	closed	2021-08-23	NeedsFix,FrozenDueToAge	spec: add example for method value in case of embedded method
48323	closed	2021-09-13	Thinking,NeedsFix,FrozenDueToAge	spec: contradiction in the definition of terminating statements
48422	closed	2021-09-16	NeedsFix,FrozenDueToAge	spec: incorrect annotation to code example
48864	closed	2022-05-12	Documentation,NeedsInvestigation,FrozenDueToAge	spec:  description of continue statements is not accurate
49003	closed	2021-10-15	NeedsInvestigation,FrozenDueToAge,release-blocker	cmd/compile: function compiles OK with no return statement
49482	closed	2022-05-03	NeedsFix,FrozenDueToAge	syntax: parser doesn't recognize valid type parameter list
49602	closed	2021-12-17	NeedsFix,FrozenDueToAge	go/types, types2: confusing error message when using comparable in a union
49816	closed	2021-11-27	cla: yes	spec: fix link for instantiations
50074	closed	2022-05-12	Documentation,FrozenDueToAge	spec: the word terms not used properly in EBNF description
50202	closed	2022-02-09	Documentation,FrozenDueToAge	spec: document that type parameters are not permitted as constant declaration types
50420	closed	2022-03-31	NeedsDecision,FrozenDueToAge	cmd/compile: misleading error message when using type parameter in typeset
50646	closed	2022-02-01	Documentation,FrozenDueToAge	spec: document/explain which interfaces implement `comparable`
50791	closed	2022-02-01	Documentation,FrozenDueToAge	spec: document definition of `comparable`
50859	closed	2022-06-04	Documentation,Proposal,Proposal-Accepted,FrozenDueToAge,release-blocker,Proposal-FinalCommentPeriod	doc: update Go memory model
51110	closed	2022-02-09	Documentation,FrozenDueToAge	spec: document behavior of type switches containing type parameter cases
51182	closed	2022-03-11	Documentation,NeedsFix,FrozenDueToAge	spec: do shifts really require core types?
51503	closed	2024-07-26	NeedsFix,FrozenDueToAge	types2, go/types: the scope of a type parameter identifier in a method of a generic type is too large
51576	closed	2022-03-09	NeedsFix,FrozenDueToAge,release-blocker	go/types, types2: disable field accesses through type parameters for now
52038	closed	2022-05-12	Proposal,Proposal-Accepted,Proposal-FinalCommentPeriod	spec: adjust scope of type parameters declared by method receivers
52111	closed	2022-04-02	-	doc: add illegal octal over 255 example
52143	closed	2022-04-04	-	doc/go_spec.html: update type identity example
52255	closed	2022-05-24	NeedsInvestigation,FrozenDueToAge,website	x/website: inconsistent tabs in code snippets
52628	closed	2022-05-12	Documentation,NeedsFix,FrozenDueToAge,generics	spec: assignment rules need clarification when type parameters are involved
52859	closed	2022-06-21	Documentation,NeedsFix,FrozenDueToAge	spec: several sections require core types and don't mention  `[]byte | string`
53003	closed	2022-11-15	Proposal,Proposal-Accepted,FrozenDueToAge,Proposal-FinalCommentPeriod	unsafe: add StringData, String, SliceData
53217	closed	2022-06-16	NeedsInvestigation,FrozenDueToAge	spec: clarify rune literal escape sequences
53219	closed	2022-06-13	Documentation,FrozenDueToAge	spec: clarify that `make` does not panic for negative capacity hint
53240	closed	2022-06-13	Documentation,NeedsFix,FrozenDueToAge	spec: EBNF for struct types does not permit embedding instantiated types
54973	closed	2022-09-20	NeedsInvestigation,FrozenDueToAge	spec: typo in a type parameter example
55007	closed	2022-11-23	Documentation,NeedsFix,FrozenDueToAge	spec: document that `x[i,]` (trailing comma) is permitted
55021	closed	2022-09-20	-	spec: fix typo in a type parameter example
56351	closed	2023-07-19	Proposal,Proposal-Accepted,FrozenDueToAge,Proposal-FinalCommentPeriod	spec: add clear(x) builtin, to clear map, zero content of slice
56548	closed	2022-12-14	Proposal,Proposal-Accepted,FrozenDueToAge,Proposal-FinalCommentPeriod,generics	spec: allow basic interface types to instantiate comparable type parameters
56684	closed	2022-11-23	Documentation,FrozenDueToAge	spec: `append` doesn't specify zero values when growing underlying array
56986	closed	2023-03-31	Proposal,Proposal-Accepted,FrozenDueToAge	extended backwards compatibility for Go
57012	closed	2022-12-14	Documentation,FrozenDueToAge	spec: document new behavior for `comparable`
57082	closed	2022-12-08	-	doc: fix typo
57323	closed	2022-12-15	NeedsFix,FrozenDueToAge	spec: typo in invalid examples of a recursive arrays
57411	closed	2023-04-14	Proposal,Proposal-Accepted,FrozenDueToAge	spec: define initialization order more precisely
58353	closed	2023-02-07	-	doc: fix spec typo
59488	closed	2023-05-25	Proposal,Proposal-Accepted,FrozenDueToAge	cmp: new package with Ordered, Compare, Less; min, max as builtins
59506	closed	2023-04-11	Documentation,NeedsFix,FrozenDueToAge	spec: typo "are" -> "or" in Core types
59528	closed	2023-04-11	-	doc: add missing oxford comma in Constants
59626	closed	2023-04-13	-	doc: correct spelling on placeholder
60570	closed	2023-06-06	Documentation,NeedsInvestigation,FrozenDueToAge	spec: imprecise language around min and max when considering NaN
60731	closed	2023-06-13	NeedsFix,FrozenDueToAge	spec: conversion with myString is a poor example
61405	closed	2024-01-23	Proposal,Proposal-Accepted,FrozenDueToAge	spec: add range over int, range over func
61879	closed	2023-08-15	NeedsFix,FrozenDueToAge,release-blocker,gopls,Tools	go/types, types2: panic: infinite recursion in unification with go1.21.0
63525	closed	2023-10-17	Documentation,NeedsInvestigation,FrozenDueToAge	spec: confusing final code block in operator section
63857	closed	2023-12-27	Documentation,NeedsFix,FrozenDueToAge	spec: document at which version new features were introduced
64452	closed	2023-12-20	Documentation,FrozenDueToAge	spec: document unsafe.Slice/SliceOf when used with type parameter values
64513	closed	2023-12-05	Suggested,Documentation,NeedsFix,FrozenDueToAge,website	doc: update golang.org url to go.dev in spec
64969	closed	2024-01-05	-	doc: s/adjustements/adjustments
65137	closed	2024-01-30	Documentation,FrozenDueToAge	spec: range over integer expressions underspecified
65236	closed	2024-07-29	Proposal,Proposal-Accepted,FrozenDueToAge,compiler/runtime	spec: allow range-over-func to omit iteration variables
65237	closed	2024-06-04	Documentation,NeedsFix,FrozenDueToAge,release-blocker,compiler/runtime	spec: document range-over-func
66540	closed	2024-08-12	Documentation,Proposal-Accepted,NeedsFix,FrozenDueToAge	spec: document promotion of methods from embedded aliases of unnamed types
66967	closed	2024-04-26	Documentation,NeedsFix,FrozenDueToAge	spec: a valid range uint(maxUint) is not accepted
67977	closed	2024-06-13	Documentation,FrozenDueToAge	spec: the introduction to 'For statements with range clause' fails to mention range-over-func
69472	closed	2024-10-02	Documentation,FrozenDueToAge,compiler/runtime	cmd/compile: clarify prose/examples regarding struct identity when embedded types match equally named non-embedded fields
70128	closed	2025-03-03	Proposal,Proposal-Accepted,FrozenDueToAge	spec: remove notion of core types
70295	closed	2024-11-12	-	doc/go_mem: fix broken paper link in go_mem.html
70417	closed	2024-11-20	NeedsFix,FrozenDueToAge,release-blocker,compiler/runtime	cmd/compile: panic when declaring method on generic alias
71083	closed	2025-01-03	-	spec: fix a dead link
72891	closed	2025-03-16	-	doc/go_mem: fix grammar issue
73526	closed	2025-05-06	NeedsFix,compiler/runtime,BugReport	runtime: incorrect terminology 'reraised' in panic message
74034	closed	2025-12-02	Documentation	spec: fix spec and allow passing type parameterized channels of different element types to "close".
75760	closed	2025-10-06	-	spec: close tag
75883	closed	2025-11-26	LanguageChange,Proposal,Proposal-Accepted,LanguageChangeReview	spec: remove cycle restriction for type parameters
75884	closed	2025-11-20	compiler/runtime,BugReport	go/types, types2: type checker accepts invalid program
75885	closed	2025-11-20	LanguageChange,Documentation,Proposal,Proposal-Accepted,LanguageProposal	spec: allow type parameter as the RHS in an alias type declaration
76122	closed	2025-12-02	Documentation	spec: new(expr) should allow "untyped bool values" too
76226	closed	2025-11-10	Documentation	spec: the prose for the special case for append could be clearer
76299	closed	2025-11-19	-	spec: escape double-ampersands
